xtf_id;Date;Power;Inclination;Orientation;PlantCategory;ElectricityProductionPlantR
detail_1;17.05.2017;4.16;;;;14727
detail_2;31.03.2017;1416.88;;;;11795
detail_3;31.03.2015;156.33;;;;14799
detail_4;26.07.2018;34.16;;;;14799
detail_5;27.04.2012;9.88;;;;12406
detail_6;22.06.2011;14.7;;;;16628
detail_7;08.06.2015;97.35;;;;16631
detail_8;29.09.2012;95.42;;;;16631
detail_9;30.06.2015;20.34;;;;16631
detail_10;12.07.2012;6.75;;;;12738
detail_11;03.11.2017;2.02;;;;12738
detail_12;22.12.2017;735.9;;;;16634
detail_13;15.11.2017;1;;;;10349
detail_14;20.07.2016;7.42;;;;16642
detail_15;08.09.2014;7.56;;;;17031
detail_16;11.07.2012;9.56;;;;17033
detail_17;16.11.2017;2.33;;;;17033
detail_18;22.09.2012;65;;;;17071
detail_19;21.03.2016;291.5;;;;17071
detail_20;18.03.2009;3.15;;;;9373
detail_21;19.09.2015;0.57;;;;9373
detail_22;13.10.2011;2.6;;;;9373
detail_23;26.11.2014;0.41;;;;9373
detail_24;03.12.2013;3.24;;;;9373
detail_25;19.12.2017;2.7;;;;9915
detail_26;16.03.2017;11.02;;;;16665
detail_27;03.04.2019;168.36;;;;17137
detail_28;14.03.2012;36.48;;;;9645
detail_29;14.12.2017;14.97;;;;9645
detail_30;03.12.2018;1.96;;;;12836
detail_31;08.12.2017;7.8;;;;10260
detail_32;29.11.2017;25.87;;;;12839
detail_33;26.09.2012;62.4;;;;12839
detail_34;31.03.2015;47.6;;;;17276
detail_35;08.12.2017;2.18;;;;10695
detail_36;30.11.2017;3.57;;;;17280
detail_37;17.06.2020;31.53;;;;12578
detail_38;25.03.2015;5.5;;;;17283
detail_39;30.09.2016;13.3;;;;9703
detail_40;12.03.2015;113.1;;;;17287
detail_41;17.03.2015;2.66;;;;12657
detail_42;30.03.2016;38.5;;;;17289
detail_43;17.11.2017;1.94;;;;17292
detail_44;22.11.2016;7.2;;;;10682
detail_45;05.05.2014;7.92;;;;10682
detail_46;10.12.2013;8.85;;;;10682
detail_47;30.03.2016;357.76;;;;17307
detail_48;29.09.2015;47.04;;;;12166
detail_49;27.09.2012;12.8;;;;12166
detail_50;31.08.2012;32.34;;;;17314
detail_51;05.09.2011;29.75;;;;17314
detail_52;23.09.2015;308.54;;;;12843
detail_53;10.03.2015;11.4;;;;11548
detail_54;20.06.2014;1.63;;;;17332
detail_55;15.12.2014;25.22;;;;17343
detail_56;17.08.2012;146.64;;;;17343
detail_57;22.12.2017;12.28;;;;15614
detail_58;31.08.2012;28.86;;;;17367
detail_59;03.07.2017;120.48;;;;17367
detail_60;31.03.2015;132.86;;;;14782
detail_61;06.05.2014;4.35;;;;14778
detail_62;21.06.2023;2.58;;;;10396
detail_63;10.07.2015;12.48;;;;14761
detail_64;26.09.2012;380;;;;14761
detail_65;15.05.2014;29.6;;;;14761
detail_66;30.08.2017;2.65;;;;10763
detail_67;28.09.2018;16.61;;;;14757
detail_68;27.09.2016;117.13;;;;10730
detail_69;15.12.2014;23.76;;;;10783
detail_70;12.06.2019;33.6;;;;10749
detail_71;21.07.2020;50.72;;;;14862
detail_72;02.10.2017;0.84;;;;14847
detail_73;06.09.2017;1.51;;;;15362
detail_74;08.06.2017;4.6;;;;12411
detail_75;04.09.2015;27.83;;;;15285
detail_76;30.09.2015;51.06;;;;15544
detail_77;17.09.2015;89.77;;;;15558
detail_78;23.09.2015;10.1;;;;9880
detail_79;07.06.2016;9.08;;;;15422
detail_80;21.12.2017;6.62;;;;10879
detail_81;10.09.2017;3.2;;;;20175
detail_82;29.06.2015;10.92;;;;12295
detail_83;17.03.2014;108.9;;;;17438
detail_84;06.07.2017;1.33;;;;15689
detail_85;20.11.2015;6.22;;;;12416
detail_86;01.12.2013;4.3;;;;10799
detail_87;20.11.2016;4.77;;;;10799
detail_88;24.03.2015;3.68;;;;11966
detail_89;21.11.2017;179.55;;;;17482
detail_90;25.09.2012;231.8;;;;17494
detail_91;28.10.2014;100.1;;;;17494
detail_92;27.11.2014;14.56;;;;17571
detail_93;06.12.2017;96.12;;;;17584
detail_94;28.03.2017;1015.58;;;;17584
detail_95;11.06.2018;1.26;;;;17599
detail_96;25.09.2017;2.94;;;;11681
detail_97;16.11.2016;7.2;;;;12864
detail_98;07.08.2015;3.92;;;;12419
detail_99;01.03.2017;20.52;;;;9468
detail_100;16.04.2014;70.4;;;;17661
detail_101;02.09.2014;1.6;;;;17736
detail_102;24.10.2014;192.78;;;;17739
detail_103;28.09.2015;38.16;;;;15012
detail_104;28.12.2017;1.78;;;;10904
detail_105;10.07.2017;1.6;;;;15034
detail_106;18.09.2012;29.6;;;;17379
detail_107;21.10.2014;142.5;;;;17379
detail_108;04.07.2017;12.84;;;;9701
detail_109;25.01.2023;0.21;;;;10774
detail_110;21.09.2017;6.69;;;;17893
detail_111;27.09.2012;141.7;;;;17893
detail_112;05.09.2017;9.24;;;;9438
detail_113;12.10.2017;1.16;;;;12338
detail_114;04.06.2015;192.9;;;;17959
detail_115;16.09.2016;24.3;;;;11414
detail_116;14.06.2012;3.96;;;;11413
detail_117;19.03.2018;0.49;;;;11413
detail_118;28.11.2017;17.4;;;;18655
detail_119;30.09.2013;52;;;;18655
detail_120;16.12.2019;24.48;;;;11756
detail_121;14.11.2013;1.92;;;;10908
detail_122;27.09.2017;22.56;;;;12066
detail_123;27.09.2016;138;;;;18064
detail_124;04.03.2015;46.8;;;;18064
detail_125;25.09.2017;1.8;;;;9881
detail_126;27.09.2012;11.2;;;;12829
detail_127;14.12.2015;1.2;;;;11445
detail_128;25.08.2017;10.4;;;;12355
detail_129;26.04.2023;0.16;;;;11516
detail_130;09.11.2017;1.13;;;;11314
detail_131;18.10.2022;0.65;;;;9759
detail_132;03.11.2016;9.54;;;;12456
detail_133;14.12.2020;18.2;;;;18716
detail_134;10.05.2017;9.69;;;;9903
detail_135;15.12.2017;3;;;;10323
detail_136;05.08.2016;6.26;;;;18723
detail_137;07.03.2017;34;;;;18726
detail_138;17.10.2017;1.26;;;;11506
detail_139;22.09.2016;80.8;;;;18756
detail_140;17.09.2012;16.64;;;;18772
detail_141;07.07.2017;0.59;;;;10679
detail_142;18.10.2017;2.31;;;;10913
detail_143;20.12.2013;10.73;;;;11514
detail_144;21.12.2011;22.4;;;;11514
detail_145;06.12.2017;0.29;;;;11514
detail_146;11.11.2020;20.65;;;;18852
detail_147;09.10.2014;3.24;;;;26308
detail_148;11.07.2017;2.35;;;;13078
detail_149;09.12.2014;186.84;;;;13078
detail_150;26.10.2017;1.7;;;;9922
detail_151;10.02.2020;50;;;;9543
detail_152;09.07.2016;2.52;;;;26355
detail_153;19.09.2017;9.1;;;;11735
detail_154;08.11.2017;1.81;;;;10178
detail_155;20.02.2020;37.8;;;;26416
detail_156;30.09.2016;7.12;;;;15684
detail_157;27.11.2014;29.29;;;;10194
detail_158;06.03.2015;19.95;;;;10204
detail_159;30.09.2014;4.16;;;;12905
detail_160;21.12.2017;64.8;;;;26488
detail_161;07.09.2020;29.9;;;;9540
detail_162;04.08.2017;26.46;;;;11055
detail_163;29.09.2017;9.07;;;;10213
detail_164;01.05.2015;4.9;;;;16896
detail_165;17.02.2012;19.94;;;;16951
detail_166;16.12.2016;2.53;;;;16951
detail_167;18.12.2014;61.36;;;;16951
detail_168;07.09.2015;2.89;;;;10930
detail_169;13.09.2023;0.02;;;;17029
detail_170;31.03.2015;14.6;;;;17282
detail_171;28.06.2019;9.9;;;;17282
detail_172;16.12.2013;312.52;;;;17290
detail_173;18.07.2018;10;;;;12126
detail_174;22.08.2014;6.21;;;;12255
detail_175;24.01.2024;1000;;;;11125
detail_176;20.03.2015;28.86;;;;17604
detail_177;22.07.2013;3.75;;;;10785
detail_178;21.09.2012;8;;;;10785
detail_179;07.09.2012;8;;;;10785
detail_180;15.09.2010;0.6;;;;10862
detail_181;27.10.2017;140.13;;;;17696
detail_182;23.11.2022;15.2;;;;14272
detail_183;28.06.2017;1.05;;;;12916
