Jahr;Erzeugung_laufwerk_GWh;Erzeugung_speicherwerk_GWh;Erzeugung_kernkraftwerk_GWh;Erzeugung_andere_total_GWh;Erzeugung_andere_fossil_GWh;Erzeugung_andere_erneuerbare_abfaelle_GWh;Erzeugung_holz_GWh;Erzeugung_biogas_GWh;Erzeugung_photovoltaik_GWh;Erzeugung_wind_GWh;Verbrauch_speicherpumpen_GWh;Erzeugung_netto_GWh;Einfuhr_GWh;Ausfuhr_GWh;Landesverbrauch_GWh;Verluste_GWh;Endverbrauch_GWh
1960;;;;168;;;;;;;245;20427;1306;3822;17911;2020;15891
1961;;;;174;;;;;;;211;21489;1530;4249;18770;2029;16741
1962;;;;231;;;;;;;327;21090;3184;4443;19831;2115;17716
1963;;;;254;;;;;;;358;22445;3419;5119;20745;2262;18483
1964;;;;304;;;;;;;393;22015;4213;4662;21566;2220;19346
1965;;;;491;;;;;;;500;24788;2843;5115;22516;2295;20221
1966;;;;652;;;;;;;589;27860;1578;6298;23140;2432;20708
1967;;;;897;;;;;;;578;30217;2035;8209;24043;2516;21527
1968;;;;1324;;;;;;;577;30188;2357;7601;24944;2507;22437
1969;;;563;1521;;;;;;;567;28844;5161;7656;26349;2650;23699
1970;13758;17515;1850;1763;;;;;;;965;33921;3594;9619;27896;2809;25087
1971;11523;16040;1843;2181;;;;;;;1377;30210;6873;7953;29130;2882;26248
1972;11218;14059;4650;2371;;;;;;;1644;30654;7847;8329;30172;3031;27141
1973;12430;16395;5896;2434;;;;;;;1724;35431;7018;10516;31933;3159;28774
1974;13252;15311;6730;2117;;;;;;;1541;35869;6274;9505;32638;3071;29567
1975;14039;19935;7391;1629;;;;;;;1198;41796;4635;14360;32071;3168;28903
1976;11790;14832;7561;2058;;;;;;;1344;34897;7179;9094;32982;3079;29903
1977;15277;21013;7728;1885;;;;;;;1277;44626;5046;15231;34441;3152;31289
1978;13764;18746;7995;1845;;;;;;;1361;40989;7653;13047;35595;3131;32464
1979;14803;17542;11243;1963;;;;;;;1586;43965;8868;15915;36918;3152;33766
1980;14967;18575;13663;957;;;;;;;1531;46631;9947;18128;38450;3198;35252
1981;16173;19924;14462;956;;;;;;;1395;50120;9839;20551;39408;3214;36194
1982;15617;21418;14276;974;;;;;;;1532;50753;9041;19868;39926;3195;36731
1983;15234;20768;14821;996;;;;;;;1346;50473;11149;20395;41227;3257;37970
1984;14051;16821;17396;884;;;;;;;1444;47708;16306;21001;43013;3348;39665
1985;13765;18912;21281;869;;;;;;;1364;53463;15579;24277;44765;3444;41321
1986;14013;19576;21303;988;;;;;;;1461;54419;14512;23098;45833;3485;42348
1987;14863;20549;21701;1048;;;;;;;1564;56597;12710;22165;47142;3551;43591
1988;15437;21002;21502;1023;;;;;;;1445;57519;15106;24727;47898;3571;44327
1989;13613;16872;21543;1082;;;;;;;1454;51656;21933;24449;49140;3638;45502
1990;13561;17114;22298;1013;661;352;6;80;1;0;1695;52379;22799;24907;50271;3693;46578
1991;13898;19184;21654;1247;904;343;6;87;2;0;1946;54132;24005;26801;51336;3750;47586
1992;15219;18506;22121;1393;1014;379;11;95;3;0;1438;55910;21757;26046;51621;3755;47866
1993;15451;20802;22029;913;536;377;8;106;4;0;1186;58127;23854;31053;50928;3689;47239
1994;16590;22966;22984;988;565;423;10;117;5;0;1271;62390;22723;34566;50547;3650;46897
1995;16148;19449;23486;1137;694;443;9;122;6;0;1520;58838;28948;36219;51567;3685;47882
1996;13669;16029;23719;1556;1082;474;14;126;7;1;1754;53366;33485;34431;52420;3728;48692
1997;14695;20099;23971;1686;1167;519;10;129;7;2;1519;59081;30655;37409;52327;3715;48612
1998;14966;19329;24368;2124;1585;539;13;137;8;3;1620;59328;37419;43373;53374;3754;49620
1999;16640;23976;23523;2386;1792;594;13;142;10;3;1408;65285;37064;47293;55056;3843;51213
2000;17566;20285;24949;2372;1702;670;14;149;11;3;1974;63374;24330;31400;56304;3931;52373
2001;17751;24510;25293;2433;1728;705;14;157;13;4;1947;68227;24096;34540;57783;4034;53749
2002;17625;18888;25692;2612;1877;735;22;152;15;5;2418;62593;27800;32308;58085;4056;54029
2003;15398;21047;25931;2689;1937;752;27;151;18;5;2893;62373;30084;33196;59261;4139;55122
2004;16039;19078;25432;2776;1979;797;29;144;18;6;2433;61090;27056;27759;60387;4216;56171
2005;14998;17761;22020;2932;2094;838;33;145;21;8;2631;55287;38346;31996;61637;4307;57330
2006;15819;16738;26244;3103;2166;937;44;154;24;15;2720;59421;33803;31100;62124;4342;57782
2007;16547;19826;26344;2894;1975;919;92;168;29;16;2104;63812;34818;36880;61750;4318;57432
