stn;time;su2000m0
TAE;201501;44.7
TAE;201502;67.0
TAE;201503;163.7
TAE;201504;211.2
TAE;201505;150.7
TAE;201506;221.3
TAE;201507;291.4
TAE;201508;236.6
TAE;201509;130.5
TAE;201510;67.8
TAE;201511;101.4
TAE;201512;101.7
TAE;201601;44.5
TAE;201602;49.2
TAE;201603;105.0
TAE;201604;141.5
TAE;201605;166.2
TAE;201606;142.1
TAE;201607;224.8
TAE;201608;238.7
TAE;201609;200.3
TAE;201610;57.6
TAE;201611;44.3
TAE;201612;77.3
TAE;201701;44.6
TAE;201702;65.2
TAE;201703;169.2
TAE;201704;173.8
TAE;201705;224.3
TAE;201706;250.1
TAE;201707;205.4
TAE;201708;206.8
TAE;201709;126.9
TAE;201710;146.7
TAE;201711;45.7
TAE;201712;35.6
TAE;201801;42.7
TAE;201802;33.4
TAE;201803;74.9
TAE;201804;230.4
TAE;201805;184.9
TAE;201806;256.6
TAE;201807;290.7
TAE;201808;246.5
TAE;201809;229.0
TAE;201810;146.2
TAE;201811;44.6
TAE;201812;27.1
TAE;201901;50.2
TAE;201902;143.6
TAE;201903;165.6
TAE;201904;139.0
TAE;201905;142.6
TAE;201906;276.1
TAE;201907;276.2
TAE;201908;198.8
TAE;201909;179.8
TAE;201910;106.8
TAE;201911;38.4
TAE;201912;35.6
TAE;202001;89.4
TAE;202002;95.1
TAE;202003;170.9
TAE;202004;282.7
TAE;202005;233.1
TAE;202006;178.4
TAE;202007;271.4
TAE;202008;218.5
TAE;202009;190.7
TAE;202010;83.8
TAE;202011;67.0
TAE;202012;18.7
TAE;202101;30.2
TAE;202102;105.2
TAE;202103;161.1
TAE;202104;203.5
TAE;202105;170.1
TAE;202106;233.1
TAE;202107;172.4
TAE;202108;140.5
TAE;202109;199.6
TAE;202110;116.2
TAE;202111;36.6
TAE;202112;32.3
TAE;202201;80.2
TAE;202202;112.0
TAE;202203;229.5
TAE;202204;185.2
TAE;202205;224.4
TAE;202206;248.5
TAE;202207;294.9
TAE;202208;263.8
TAE;202209;133.5
TAE;202210;116.5
TAE;202211;45.5
TAE;202212;27.0
TAE;202301;29.8
TAE;202302;101.9
TAE;202303;102.2
TAE;202304;95.7
TAE;202305;145.9
TAE;202306;322.0
TAE;202307;213.6
TAE;202308;194.0
TAE;202309;235.3
TAE;202310;129.0
TAE;202311;40.4
TAE;202312;41.6
TAE;202401;52.6
TAE;202402;70.9
TAE;202403;101.9
TAE;202404;136.9
TAE;202405;146.4
TAE;202406;151.3
TAE;202407;217.1
TAE;202408;255.4
TAE;202409;119.6
TAE;202410;45.9
TAE;202411;56.6
TAE;202412;36.7
TAE;202501;51.0
COM;201501;82.3
COM;201502;84.7
COM;201503;107.1
COM;201504;176.3
COM;201505;145.4
COM;201506;152.7
COM;201507;212.4
COM;201508;163.5
COM;201509;103.2
COM;201510;107.4
COM;201511;124.8
COM;201512;113.0
COM;201601;81.6
COM;201602;74.5
COM;201603;134.2
COM;201604;97.5
COM;201605;112.7
COM;201606;124.7
COM;201607;174.7
COM;201608;192.6
COM;201609;149.4
COM;201610;104.3
COM;201611;63.7
COM;201612;107.0
COM;201701;103.5
COM;201702;73.5
COM;201703;130.1
COM;201704;187.1
COM;201705;178.0
COM;201706;186.1
COM;201707;175.4
COM;201708;138.1
COM;201709;107.9
COM;201710;147.6
COM;201711;86.0
COM;201712;82.2
COM;201801;59.1
COM;201802;83.8
COM;201803;86.4
COM;201804;144.7
COM;201805;96.3
COM;201806;173.8
COM;201807;194.6
COM;201808;165.5
COM;201809;156.2
COM;201810;116.2
COM;201811;30.1
COM;201812;81.8
COM;201901;99.5
COM;201902;127.0
COM;201903;153.9
COM;201904;93.0
COM;201905;141.6
COM;201906;190.5
COM;201907;169.1
COM;201908;136.9
COM;201909;132.0
COM;201910;98.1
COM;201911;33.8
COM;201912;68.4
COM;202001;118.2
COM;202002;98.5
COM;202003;125.0
COM;202004;190.5
COM;202005;175.1
COM;202006;133.9
COM;202007;200.6
COM;202008;156.2
COM;202009;136.5
COM;202010;84.5
COM;202011;123.3
COM;202012;33.2
COM;202101;68.0
COM;202102;88.7
COM;202103;161.5
COM;202104;147.7
COM;202105;157.7
COM;202106;147.0
COM;202107;123.9
COM;202108;164.7
COM;202109;126.5
COM;202110;112.5
COM;202111;82.7
COM;202112;93.1
COM;202201;124.1
COM;202202;120.6
COM;202203;147.2
COM;202204;154.5
COM;202205;138.4
COM;202206;175.0
COM;202207;230.0
COM;202208;187.0
COM;202209;120.7
COM;202210;114.1
COM;202211;94.9
COM;202212;65.0
COM;202301;90.1
COM;202302;107.6
COM;202303;119.3
COM;202304;135.0
COM;202305;99.3
COM;202306;175.8
COM;202307;167.8
COM;202308;165.3
COM;202309;145.1
COM;202310;115.8
COM;202311;81.7
COM;202312;63.8
COM;202401;91.9
COM;202402;72.2
COM;202403;85.0
COM;202404;133.0
COM;202405;71.8
COM;202406;94.9
COM;202407;170.0
COM;202408;185.5
COM;202409;83.7
COM;202410;52.0
COM;202411;120.0
COM;202412;99.1
COM;202501;71.8
ABO;201501;67.4
ABO;201502;91.6
ABO;201503;129.9
ABO;201504;160.7
ABO;201505;149.1
ABO;201506;170.0
ABO;201507;243.2
ABO;201508;182.8
ABO;201509;121.7
ABO;201510;111.6
ABO;201511;117.1
ABO;201512;128.5
ABO;201601;54.6
ABO;201602;50.9
ABO;201603;141.8
ABO;201604;111.0
ABO;201605;140.5
ABO;201606;128.5
ABO;201607;204.9
ABO;201608;189.3
ABO;201609;164.9
ABO;201610;117.6
ABO;201611;60.8
ABO;201612;149.9
ABO;201701;92.1
ABO;201702;109.8
ABO;201703;141.0
ABO;201704;164.1
ABO;201705;179.9
ABO;201706;196.1
ABO;201707;159.5
ABO;201708;173.3
ABO;201709;110.7
ABO;201710;138.6
ABO;201711;69.8
ABO;201712;70.7
ABO;201801;61.4
ABO;201802;61.8
ABO;201803;68.3
ABO;201804;188.8
ABO;201805;141.3
ABO;201806;197.5
ABO;201807;204.5
ABO;201808;190.3
ABO;201809;163.9
ABO;201810;154.6
ABO;201811;96.4
ABO;201812;65.4
ABO;201901;75.1
ABO;201902;148.8
ABO;201903;142.6
ABO;201904;126.3
ABO;201905;108.7
ABO;201906;218.4
ABO;201907;188.7
ABO;201908;191.0
ABO;201909;153.8
ABO;201910;98.1
ABO;201911;68.5
ABO;201912;81.8
ABO;202001;124.6
ABO;202002;86.7
ABO;202003;136.4
ABO;202004;211.6
ABO;202005;197.6
ABO;202006;149.1
ABO;202007;211.3
ABO;202008;175.8
ABO;202009;152.8
ABO;202010;86.2
ABO;202011;127.6
ABO;202012;50.5
ABO;202101;77.3
ABO;202102;84.7
ABO;202103;137.9
ABO;202104;163.3
ABO;202105;121.1
ABO;202106;183.4
ABO;202107;154.8
ABO;202108;163.2
ABO;202109;159.1
ABO;202110;149.4
ABO;202111;84.7
ABO;202112;82.9
ABO;202201;111.6
ABO;202202;96.4
ABO;202203;193.6
ABO;202204;159.1
ABO;202205;165.6
ABO;202206;195.6
ABO;202207;248.2
ABO;202208;206.5
ABO;202209;132.6
ABO;202210;131.5
ABO;202211;67.0
ABO;202212;60.2
ABO;202301;65.6
ABO;202302;133.8
ABO;202303;116.7
ABO;202304;97.9
ABO;202305;132.6
ABO;202306;218.5
ABO;202307;184.5
ABO;202308;156.8
ABO;202309;187.8
ABO;202310;135.6
ABO;202311;37.2
ABO;202312;71.4
ABO;202401;74.6
ABO;202402;96.6
ABO;202403;84.4
ABO;202404;111.5
ABO;202405;99.1
ABO;202406;116.0
ABO;202407;184.8
ABO;202408;213.0
ABO;202409;105.6
ABO;202410;80.6
ABO;202411;124.7
ABO;202412;91.9
ABO;202501;93.5
AIG;201501;69.2
AIG;201502;101.1
AIG;201503;153.6
AIG;201504;202.6
AIG;201505;175.6
AIG;201506;234.7
AIG;201507;281.8
AIG;201508;220.3
AIG;201509;166.7
AIG;201510;129.1
AIG;201511;127.6
AIG;201512;126.2
AIG;201601;63.7
AIG;201602;53.0
AIG;201603;163.5
AIG;201604;125.4
AIG;201605;168.0
AIG;201606;163.0
AIG;201607;250.7
AIG;201608;256.2
AIG;201609;198.4
AIG;201610;135.4
AIG;201611;70.0
AIG;201612;136.4
AIG;201701;80.1
AIG;201702;119.0
AIG;201703;167.4
AIG;201704;236.4
AIG;201705;212.8
AIG;201706;249.8
AIG;201707;218.8
AIG;201708;223.2
AIG;201709;144.1
AIG;201710;179.3
AIG;201711;85.0
AIG;201712;75.0
AIG;201801;74.2
AIG;201802;82.2
AIG;201803;91.3
AIG;201804;209.7
AIG;201805;176.5
AIG;201806;255.9
AIG;201807;284.4
AIG;201808;243.2
AIG;201809;224.8
AIG;201810;189.1
AIG;201811;104.7
AIG;201812;67.4
AIG;201901;87.1
AIG;201902;174.8
AIG;201903;174.1
AIG;201904;175.7
AIG;201905;171.9
AIG;201906;252.1
AIG;201907;270.6
AIG;201908;241.0
AIG;201909;180.9
AIG;201910;108.2
AIG;201911;73.1
AIG;201912;81.8
AIG;202001;129.3
AIG;202002;101.2
AIG;202003;156.5
AIG;202004;240.4
AIG;202005;234.4
AIG;202006;179.9
AIG;202007;266.7
AIG;202008;218.9
AIG;202009;198.0
AIG;202010;101.6
AIG;202011;132.2
AIG;202012;60.6
AIG;202101;65.8
AIG;202102;110.0
AIG;202103;184.7
AIG;202104;201.2
AIG;202105;157.8
AIG;202106;212.7
AIG;202107;191.1
AIG;202108;227.1
AIG;202109;191.5
AIG;202110;184.1
AIG;202111;71.8
AIG;202112;70.1
AIG;202201;138.4
AIG;202202;127.7
AIG;202203;206.3
AIG;202204;192.5
AIG;202205;243.0
AIG;202206;234.0
AIG;202207;322.8
AIG;202208;262.4
AIG;202209;155.9
AIG;202210;155.9
AIG;202211;86.3
AIG;202212;56.2
AIG;202301;98.9
AIG;202302;175.2
AIG;202303;128.5
AIG;202304;134.1
AIG;202305;168.1
AIG;202306;262.7
AIG;202307;217.8
AIG;202308;198.7
AIG;202309;236.8
AIG;202310;154.8
AIG;202311;45.1
AIG;202312;81.8
AIG;202401;72.8
AIG;202402;102.0
AIG;202403;111.4
AIG;202404;124.5
AIG;202405;118.0
AIG;202406;149.8
AIG;202407;243.5
AIG;202408;256.2
AIG;202409;129.2
AIG;202410;111.9
AIG;202411;136.7
AIG;202412;96.4
AIG;202501;84.4
ALT;201501;41.1
ALT;201502;50.9
ALT;201503;134.0
ALT;201504;165.5
ALT;201505;126.6
ALT;201506;167.5
ALT;201507;206.1
ALT;201508;192.5
ALT;201509;90.5
ALT;201510;93.0
ALT;201511;94.4
ALT;201512;72.8
ALT;201601;44.0
ALT;201602;69.2
ALT;201603;124.9
ALT;201604;120.6
ALT;201605;149.0
ALT;201606;128.5
ALT;201607;176.4
ALT;201608;177.3
ALT;201609;175.9
ALT;201610;85.5
ALT;201611;37.5
ALT;201612;56.6
ALT;201701;34.8
ALT;201702;97.1
ALT;201703;148.3
ALT;201704;144.6
ALT;201705;198.2
ALT;201706;185.2
ALT;201707;135.4
ALT;201708;166.6
ALT;201709;98.1
ALT;201710;137.0
ALT;201711;60.9
ALT;201712;38.8
ALT;201801;51.8
ALT;201802;45.1
ALT;201803;70.1
ALT;201804;187.8
ALT;201805;168.1
ALT;201806;203.7
ALT;201807;202.5
ALT;201808;181.8
ALT;201809;173.6
ALT;201810;147.1
ALT;201811;56.1
ALT;201812;36.1
ALT;201901;55.4
ALT;201902;143.8
ALT;201903;149.7
ALT;201904;126.6
ALT;201905;103.9
ALT;201906;222.1
ALT;201907;168.1
ALT;201908;153.0
ALT;201909;125.5
ALT;201910;102.4
ALT;201911;37.1
ALT;201912;34.8
ALT;202001;82.4
ALT;202002;90.9
ALT;202003;134.5
ALT;202004;203.8
ALT;202005;181.4
ALT;202006;133.8
ALT;202007;188.0
ALT;202008;162.1
ALT;202009;155.9
ALT;202010;86.6
ALT;202011;65.3
ALT;202012;27.1
ALT;202101;38.9
ALT;202102;85.8
ALT;202103;130.7
ALT;202104;168.3
ALT;202105;125.5
ALT;202106;178.8
ALT;202107;130.7
ALT;202108;121.7
ALT;202109;168.5
ALT;202110;128.9
ALT;202111;42.2
ALT;202112;26.4
ALT;202201;49.7
ALT;202202;100.6
ALT;202203;198.9
ALT;202204;158.2
ALT;202205;150.4
ALT;202206;195.0
ALT;202207;231.4
ALT;202208;194.5
ALT;202209;110.9
ALT;202210;115.9
ALT;202211;61.4
ALT;202212;35.2
ALT;202301;45.7
ALT;202302;105.6
ALT;202303;103.7
ALT;202304;111.0
ALT;202305;128.4
ALT;202306;209.0
ALT;202307;165.1
ALT;202308;149.1
ALT;202309;189.9
ALT;202310;138.8
ALT;202311;32.4
ALT;202312;37.9
ALT;202401;45.8
ALT;202402;72.5
ALT;202403;94.6
ALT;202404;115.1
ALT;202405;102.7
ALT;202406;122.9
ALT;202407;173.4
ALT;202408;190.2
ALT;202409;119.7
ALT;202410;55.6
ALT;202411;64.4
ALT;202412;23.9
ALT;202501;55.8
ARH;202212;26.5
ARH;202301;38.0
ARH;202302;92.2
ARH;202303;103.1
ARH;202304;140.7
ARH;202305;175.6
ARH;202306;321.9
ARH;202307;190.9
ARH;202308;197.0
ARH;202309;236.7
ARH;202310;117.7
ARH;202311;37.1
ARH;202312;45.3
ARH;202401;44.0
ARH;202402;72.7
ARH;202403;103.8
ARH;202404;143.4
ARH;202405;167.1
ARH;202406;152.2
ARH;202407;197.4
ARH;202408;257.3
ARH;202409;139.1
ARH;202410;35.9
ARH;202411;53.2
ARH;202412;29.8
ARH;202501;64.6
AND;201501;59.9
AND;201502;73.8
AND;201503;116.0
AND;201504;163.3
AND;201505;134.5
AND;201506;165.3
AND;201507;234.1
AND;201508;168.8
AND;201509;102.5
AND;201510;98.3
AND;201511;105.9
AND;201512;97.4
AND;201601;75.4
AND;201602;58.1
AND;201603;118.3
AND;201604;99.5
AND;201605;119.6
AND;201606;129.7
AND;201607;186.5
AND;201608;170.8
AND;201609;153.9
AND;201610;90.3
AND;201611;51.1
AND;201612;97.9
AND;201701;83.4
AND;201702;77.9
AND;201703;123.3
AND;201704;157.9
AND;201705;191.3
AND;201706;190.5
AND;201707;177.3
AND;201708;165.6
AND;201709;98.3
AND;201710;124.6
AND;201711;59.4
AND;201712;56.9
AND;201801;61.1
AND;201802;61.3
AND;201803;69.6
AND;201804;159.1
AND;201805;125.0
AND;201806;192.1
AND;201807;200.8
AND;201808;174.3
AND;201809;162.8
AND;201810;120.4
AND;201811;56.4
AND;201812;62.8
AND;201901;63.6
AND;201902;121.6
AND;201903;132.2
AND;201904;110.9
AND;201905;91.3
AND;201906;217.9
AND;201907;174.0
AND;201908;170.6
AND;201909;134.2
AND;201910;93.3
AND;201911;40.6
AND;201912;56.9
AND;202001;94.1
AND;202002;91.1
AND;202003;127.0
AND;202004;195.0
AND;202005;185.9
AND;202006;127.7
AND;202007;208.7
AND;202008;158.6
AND;202009;149.8
AND;202010;80.2
AND;202011;104.8
AND;202012;35.8
AND;202101;55.3
AND;202102;97.2
AND;202103;143.2
AND;202104;154.2
AND;202105;138.4
AND;202106;182.7
AND;202107;140.6
AND;202108;158.0
AND;202109;153.1
AND;202110;113.7
AND;202111;67.7
AND;202112;64.4
AND;202201;90.2
AND;202202;95.9
AND;202203;167.0
AND;202204;169.0
AND;202205;152.9
AND;202206;191.6
AND;202207;237.9
AND;202208;204.6
AND;202209;119.9
AND;202210;121.7
AND;202211;72.4
AND;202212;55.8
AND;202301;58.6
AND;202302;106.0
AND;202303;124.3
AND;202304;117.6
AND;202305;120.5
AND;202306;188.0
AND;202307;166.8
AND;202308;152.7
AND;202309;164.9
AND;202310;115.3
AND;202311;52.8
AND;202312;50.5
AND;202401;67.9
AND;202402;60.8
AND;202403;65.5
AND;202404;125.5
AND;202405;103.4
AND;202406;118.9
AND;202407;204.1
AND;202408;204.1
AND;202409;85.6
AND;202410;50.0
AND;202411;107.7
AND;202412;70.7
AND;202501;67.6
ANT;201501;56.7
ANT;201502;77.8
ANT;201503;118.5
ANT;201504;180.1
ANT;201505;145.2
ANT;201506;196.9
ANT;201507;265.4
ANT;201508;189.1
ANT;201509;109.5
ANT;201510;102.5
ANT;201511;123.0
ANT;201512;99.0
ANT;201601;57.6
ANT;201602;52.6
ANT;201603;137.6
ANT;201604;96.2
ANT;201605;115.0
ANT;201606;135.4
ANT;201607;208.3
ANT;201608;201.5
ANT;201609;190.6
ANT;201610;117.1
ANT;201611;77.8
ANT;201612;108.1
ANT;201701;94.4
ANT;201702;84.6
ANT;201703;131.3
ANT;201704;171.7
ANT;201705;203.0
ANT;201706;215.3
ANT;201707;173.4
ANT;201708;188.3
ANT;201709;120.7
ANT;201710;141.4
ANT;201711;70.5
ANT;201712;52.7
ANT;201801;58.6
ANT;201802;66.1
ANT;201803;77.7
ANT;201804;161.2
ANT;201805;137.5
ANT;201806;229.4
ANT;201807;247.2
ANT;201808;196.5
