stn;name;longitude;latitude;coordinates;elevation;canton_name;canton
TAE;Aadorf / Tänikon;8.54;47.29;710517/259824;539;Thurgau;TG
COM;Acquarossa / Comprovasco;8.56;46.28;714984/146451;575;Ticino;TI
ABO;Adelboden;7.34;46.30;609372/148939;1321;Bern;BE
AIG;Aigle;6.55;46.20;560404/130713;381;Vaud;VD
ALT;Altdorf;8.37;46.53;690180/193564;437;Uri;UR
ARH;Altenrhein;9.34;47.29;760386/261381;397;St. Gallen;SG
AND;Andeer;9.26;46.37;752691/164038;987;Graubünden;GR
ANT;Andermatt;8.35;46.38;687444/165044;1434;Uri;UR
ARO;Arosa;9.41;46.48;771030/184830;1878;Graubünden;GR
RAG;Bad Ragaz;9.30;47.01;756910/209350;496;St. Gallen;SG
BAN;Bantiger;7.32;46.59;606850/202975;941;Bern;BE
BAS;Basel / Binningen;7.35;47.32;610908/265611;316;Basel-Stadt;BS
LAT;Bergün / Latsch;9.45;46.38;777273/166618;1407;Graubünden;GR
BER;Bern / Zollikofen;7.28;46.59;601933/204409;552;Bern;BE
BEZ;Beznau;8.14;47.33;659812/267696;325;Aargau;AG
BIA;Biasca;8.59;46.20;718535/132792;278;Ticino;TI
BIZ;Bischofszell / Sitterdorf;9.16;47.31;737713/263612;507;Thurgau;TG
BIE;Bière;6.21;46.31;515887/153210;683;Vaud;VD
BLA;Blatten, Lötschental;7.49;46.25;629564/141084;1538;Valais;VS
BOL;Boltigen;7.23;46.37;595831/163587;820;Bern;BE
BUS;Buchs / Aarau;8.05;47.23;648395/248369;386;Aargau;AG
BUF;Buffalora;10.16;46.39;816493/170255;1971;Graubünden;GR
FRE;Bullet / La Frétaz;6.35;46.50;534225/188081;1205;Vaud;VD
CEV;Cevio;8.36;46.19;689688/130565;417;Ticino;TI
CHZ;Cham;8.28;47.11;677758/226878;442;Zug;ZG
CHA;Chasseral;7.03;47.08;570845/220157;1594;Bern;BE
CHM;Chaumont;6.59;47.03;565060/211006;1136;Neuchâtel;NE
CHU;Chur;9.32;46.52;759488/193181;556;Graubünden;GR
CHD;Château-d'Oex;7.08;46.29;577040/147654;1028;Vaud;VD
CIM;Cimetta;8.47;46.12;704433/117457;1661;Ticino;TI
GSB;Col du Grand St-Bernard;7.10;45.52;579192/79753;2472;Valais;VS
CMA;Crap Masegn;9.11;46.51;732824/189377;2467;Graubünden;GR
DAV;Davos;9.51;46.49;783518/187458;1594;Graubünden;GR
DEM;Delémont;7.21;47.21;593269/244543;439;Jura;JU
DIS;Disentis;8.51;46.42;708190/173793;1197;Graubünden;GR
EBK;Ebnat-Kappel;9.07;47.16;726347/237176;623;St. Gallen;SG
EGH;Eggishorn;8.06;46.26;650279/141897;2892;Valais;VS
EIN;Einsiedeln;8.45;47.08;699982/221068;910;Schwyz;SZ
ELM;Elm;9.11;46.55;732265/198424;957;Glarus;GL
ENG;Engelberg;8.25;46.49;674160/186069;1035;Obwalden;OW
EVI;Evionnaz;7.02;46.11;568197/114693;482;Valais;VS
EVO;Evolène / Villa;7.31;46.07;605412/106748;1825;Valais;VS
FAH;Fahy;6.56;47.25;562464/252675;596;Jura;JU
GRA;Fribourg / Grangeneuve;7.07;46.46;575183/180076;650;Fribourg;FR
FRU;Frutigen;7.39;46.36;616773/160884;756;Bern;BE
GVE;Genève / Cointrin;6.08;46.15;498904/122631;410;Genève;GE
GIH;Giswil;8.11;46.51;657323/188976;471;Obwalden;OW
GLA;Glarus;9.04;47.02;723755/210567;516;Glarus;GL
GOR;Gornergrat;7.47;45.59;626900/92512;3129;Valais;VS
GRE;Grenchen;7.25;47.11;598218/225349;427;Solothurn;SO
GRH;Grimsel Hospiz;8.20;46.34;668583/158215;1980;Bern;BE
GRO;Grono;9.10;46.15;733016/124090;323;Graubünden;GR
GRC;Grächen;7.50;46.12;630738/116062;1605;Valais;VS
GOE;Gösgen;7.58;47.22;640421/245949;380;Solothurn;SO
GUE;Gütsch, Andermatt;8.37;46.39;690050/167475;2286;Uri;UR
GUT;Güttingen;9.17;47.36;738421/273962;440;Thurgau;TG
HLL;Hallau;8.28;47.42;677456/283471;419;Schaffhausen;SH
HOE;Hörnli;8.56;47.22;713516/247756;1132;Zürich;ZH
ILZ;Ilanz;9.13;46.47;735685/181965;698;Graubünden;GR
INT;Interlaken;7.52;46.40;633042/169069;577;Bern;BE
JUN;Jungfraujoch;7.59;46.33;641938/155287;3571;Bern;BE
KOP;Koppigen;7.36;47.07;612662/218664;485;Bern;BE
BRL;La Brévine;6.37;46.59;536981/203974;1050;Neuchâtel;NE
CDF;La Chaux-de-Fonds;6.48;47.05;550919/214861;1017;Neuchâtel;NE
DOL;La Dôle;6.06;46.25;497060/142371;1669;Vaud;VD
LAG;Langnau i.E.;7.48;46.56;628003/198793;743;Bern;BE
MLS;Le Moléson;7.01;46.33;567718/155076;1974;Fribourg;FR
LEI;Leibstadt;8.11;47.36;656373/272121;341;Aargau;AG
ATT;Les Attelas;7.16;46.06;586854/105302;2734;Valais;VS
OTL;Locarno / Monti;8.47;46.10;704166/114316;366;Ticino;TI
LUG;Lugano;8.58;46.00;717873/95884;273;Ticino;TI
LUZ;Luzern;8.18;47.02;665543/209849;454;Luzern;LU
LAE;Lägern;8.24;47.29;672250/259460;844;Zürich;ZH
MAG;Magadino / Cadenazzo;8.56;46.10;715479/113161;203;Ticino;TI
MAH;Mathod;6.34;46.44;533458/176567;435;Vaud;VD
MTR;Matro;8.55;46.25;714263/140943;2171;Ticino;TI
MER;Meiringen;8.10;46.44;655844/175930;588;Bern;BE
MVE;Montana;7.28;46.18;601709/127488;1422;Valais;VS
GEN;Monte Generoso;9.01;45.56;722503/87456;1600;Ticino;TI
MRP;Monte Rosa / Plattje;7.49;45.57;629149/89520;2885;Valais;VS
MOA;Mosen;8.14;47.15;660128/232852;453;Luzern;LU
MTE;Mottec;7.37;46.09;614325/110730;1580;Valais;VS
MOE;Möhlin;7.53;47.34;633053/269147;343;Aargau;AG
MUB;Mühleberg;7.17;46.58;587792/202479;479;Bern;BE
MSK;Mühleberg / Stockeren;7.17;46.57;588150/200125;706;Bern;BE
NAS;Naluns / Schlivera;10.16;46.49;815374/188987;2380;Graubünden;GR
NAP;Napf;7.56;47.00;638136/206078;1403;Luzern;LU
NEU;Neuchâtel;6.57;47.00;563086/205559;485;Neuchâtel;NE
CGI;Nyon / Changins;6.14;46.24;506878/139572;458;Vaud;VD
ORO;Oron;6.51;46.34;555505/158052;828;Vaud;VD
BEH;Passo del Bernina;10.01;46.25;798422/143020;2260;Graubünden;GR
PAY;Payerne;6.57;46.49;562131/184611;490;Vaud;VD
PFA;Pfäffikon, ZH;8.45;47.23;699400/248164;537;Zürich;ZH
PIL;Pilatus;8.15;46.59;661903/203410;2105;Obwalden;OW
PIO;Piotta;8.41;46.31;695880/152264;990;Ticino;TI
COV;Piz Corvatsch;9.49;46.25;783154/143524;3294;Graubünden;GR
PMA;Piz Martegnas;9.32;46.35;760261/160570;2668;Graubünden;GR
PLF;Plaffeien;7.16;46.45;586828/177406;1042;Fribourg;FR
ROB;Poschiavo / Robbia;10.04;46.21;801992/136248;1078;Graubünden;GR
PUY;Pully;6.40;46.31;540819/151510;455;Vaud;VD
ROE;Robièi;8.31;46.27;682587/144091;1898;Ticino;TI
RUE;Rünenberg;7.53;47.26;633252/253845;611;Basel-Landschaft;BL
