year;nrElcom;nomEw;link;tarif1;tarif2;tarif3;explText;counterCost;loadCurveCost;nbrPowerCat;power1;energy1;eco1;energyAuto1;ecoAuto1;power2;energy2;eco2;energyAuto2;ecoAuto2;power3;energy3;eco3;energyAuto3;ecoAuto3;power4;htnt;stwt;ecoIncl;autot;energy1_bfe;energy1_ht;energy1_nt;energy1_wht;energy1_wnt;energyAuto1_bfe;energyAuto1_ht;energyAuto1_nt;energyAuto1_wht;energyAuto1_wnt;energy2_bfe;energy2_ht;energy2_nt;energy2_wht;energy2_wnt;energyAuto2_bfe;energyAuto2_ht;energyAuto2_nt;energyAuto2_wht;energyAuto2_wnt;energy3_bfe;energy3_ht;energy3_nt;energy3_wht;energy3_wnt;energyAuto3_bfe;energyAuto3_ht;energyAuto3_nt;energyAuto3_wht;energyAuto3_wnt;ht_mofr_on;ht_mofr_off;ht_sa_on;ht_sa_off;ht_su_on;ht_su_off;neg;neg_text;pos;pos_text;leist;leist_power;leist_tax
2015;804;Elektrizitäts- und Wasserwerk Wettingen;https://www.energiewettingen.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;560;EWL Genossenschaft Lauterbrunnen;https://www.ewl.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;557;EWD Elektrizitätswerk Davos AG;https://www.ewd.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;10;Arosa Energie;https://www.arosaenergie.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;667;Regionalwerke AG Baden;https://www.regionalwerke.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;596;Werke am Zürichsee (Zollikon);https://www.werkezuerichsee.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;37;CKW AG;https://www.ckw.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;817;Azienda Elettrica Bregaglia AEB;https://comunedibregaglia.ch/uffici/azienda-elettrica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;610;Gruyère Energie SA;https://www.gruyere-energie.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;721;VO Energies Distribution SA;https://www.voenergies.ch/home.php;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;758;Technische Betriebe Wil;https://www.tb-wil.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;685;Service électrique intercommunal S.A.;https://www.genedis.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;617;IBC Energie Wasser Chur;https://ibc-chur.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;672;Sankt Galler Stadtwerke;https://www.sgsw.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;675;Service industriel de Lausanne SiL;https://www.lausanne.ch/sil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;636;Localnet AG;https://www.localnet.ch/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
