nrElcom;Name;idofs;PLZ;Gemeinde
486;Elektrizitätswerke des Kantons Zürich EKZ;1;8914;Aeugst am Albis
486;Elektrizitätswerke des Kantons Zürich EKZ;2;8910;Affoltern am Albis
486;Elektrizitätswerke des Kantons Zürich EKZ;3;8906;Bonstetten
486;Elektrizitätswerke des Kantons Zürich EKZ;4;8915;Hausen am Albis
486;Elektrizitätswerke des Kantons Zürich EKZ;5;8908;Hedingen
486;Elektrizitätswerke des Kantons Zürich EKZ;6;8926;Kappel am Albis
486;Elektrizitätswerke des Kantons Zürich EKZ;7;8934;Knonau
486;Elektrizitätswerke des Kantons Zürich EKZ;8;8933;Maschwanden
486;Elektrizitätswerke des Kantons Zürich EKZ;9;8932;Mettmenstetten
486;Elektrizitätswerke des Kantons Zürich EKZ;10;8912;Obfelden
486;Elektrizitätswerke des Kantons Zürich EKZ;11;8913;Ottenbach
486;Elektrizitätswerke des Kantons Zürich EKZ;12;8911;Rifferswil
486;Elektrizitätswerke des Kantons Zürich EKZ;13;8143;Stallikon
486;Elektrizitätswerke des Kantons Zürich EKZ;14;8907;Wettswil am Albis
290;Elektrizitätsversorgung Benken;22;8463;Benken (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;23;8415;Berg am Irchel
486;Elektrizitätswerke des Kantons Zürich EKZ;24;8414;Buch am Irchel
486;Elektrizitätswerke des Kantons Zürich EKZ;25;8447;Dachsen
486;Elektrizitätswerke des Kantons Zürich EKZ;26;8458;Dorf
486;Elektrizitätswerke des Kantons Zürich EKZ;27;8245;Feuerthalen
486;Elektrizitätswerke des Kantons Zürich EKZ;28;8416;Flaach
486;Elektrizitätswerke des Kantons Zürich EKZ;29;8247;Flurlingen
486;Elektrizitätswerke des Kantons Zürich EKZ;31;8444;Henggart
486;Elektrizitätswerke des Kantons Zürich EKZ;33;8453;Kleinandelfingen
486;Elektrizitätswerke des Kantons Zürich EKZ;34;8248;Laufen-Uhwiesen
285;Elektrizitätsgenossenschaft Marthalen;35;8460;Marthalen
486;Elektrizitätswerke des Kantons Zürich EKZ;35;8460;Marthalen
486;Elektrizitätswerke des Kantons Zürich EKZ;37;8475;Ossingen
486;Elektrizitätswerke des Kantons Zürich EKZ;38;8462;Rheinau
486;Elektrizitätswerke des Kantons Zürich EKZ;39;8478;Thalheim an der Thur
486;Elektrizitätswerke des Kantons Zürich EKZ;40;8465;Trüllikon
486;Elektrizitätswerke des Kantons Zürich EKZ;41;8467;Truttikon
486;Elektrizitätswerke des Kantons Zürich EKZ;43;8459;Volken
486;Elektrizitätswerke des Kantons Zürich EKZ;51;8184;Bachenbülach
486;Elektrizitätswerke des Kantons Zürich EKZ;52;8303;Bassersdorf
486;Elektrizitätswerke des Kantons Zürich EKZ;53;8180;Bülach
587;Gemeindewerke Dietlikon;54;8305;Dietlikon
486;Elektrizitätswerke des Kantons Zürich EKZ;54;8305;Dietlikon
486;Elektrizitätswerke des Kantons Zürich EKZ;55;8193;Eglisau
486;Elektrizitätswerke des Kantons Zürich EKZ;56;8423;Embrach
486;Elektrizitätswerke des Kantons Zürich EKZ;57;8428;Freienstein-Teufen
634;Genossenschaft Licht- und Kraftwerke Glattfelden;58;8192;Glattfelden
486;Elektrizitätswerke des Kantons Zürich EKZ;58;8192;Glattfelden
486;Elektrizitätswerke des Kantons Zürich EKZ;59;8182;Hochfelden
486;Elektrizitätswerke des Kantons Zürich EKZ;60;8181;Höri
486;Elektrizitätswerke des Kantons Zürich EKZ;61;8194;Hüntwangen
621;Industrielle Betriebe Kloten AG;62;8058;Kloten
486;Elektrizitätswerke des Kantons Zürich EKZ;62;8058;Kloten
486;Elektrizitätswerke des Kantons Zürich EKZ;63;8426;Lufingen
226;Elektrizitäts - Genossenschaft Lufingen;63;8426;Lufingen
486;Elektrizitätswerke des Kantons Zürich EKZ;64;8309;Nürensdorf
486;Elektrizitätswerke des Kantons Zürich EKZ;65;8425;Oberembrach
508;Energie Opfikon AG;66;8065;Opfikon
486;Elektrizitätswerke des Kantons Zürich EKZ;66;8065;Opfikon
486;Elektrizitätswerke des Kantons Zürich EKZ;67;8197;Rafz
486;Elektrizitätswerke des Kantons Zürich EKZ;68;8427;Rorbas
59;die werke versorgung wallisellen ag;69;8301;Wallisellen
486;Elektrizitätswerke des Kantons Zürich EKZ;69;8301;Wallisellen
486;Elektrizitätswerke des Kantons Zürich EKZ;70;8195;Wasterkingen
486;Elektrizitätswerke des Kantons Zürich EKZ;71;8196;Wil (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;72;8185;Winkel
486;Elektrizitätswerke des Kantons Zürich EKZ;81;8164;Bachs
486;Elektrizitätswerke des Kantons Zürich EKZ;82;8113;Boppelsen
486;Elektrizitätswerke des Kantons Zürich EKZ;83;8107;Buchs (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;84;8108;Dällikon
486;Elektrizitätswerke des Kantons Zürich EKZ;85;8114;Dänikon
486;Elektrizitätswerke des Kantons Zürich EKZ;86;8157;Dielsdorf
486;Elektrizitätswerke des Kantons Zürich EKZ;87;8115;Hüttikon
486;Elektrizitätswerke des Kantons Zürich EKZ;88;8173;Neerach
486;Elektrizitätswerke des Kantons Zürich EKZ;89;8172;Niederglatt
486;Elektrizitätswerke des Kantons Zürich EKZ;90;8155;Niederhasli
486;Elektrizitätswerke des Kantons Zürich EKZ;91;8166;Niederweningen
655;Politische Gemeinde Oberglatt;92;8154;Oberglatt
486;Elektrizitätswerke des Kantons Zürich EKZ;92;8154;Oberglatt
486;Elektrizitätswerke des Kantons Zürich EKZ;93;8165;Oberweningen
486;Elektrizitätswerke des Kantons Zürich EKZ;94;8112;Otelfingen
268;Elektrizitätsgenossenschaft Otelfingen;94;8112;Otelfingen
486;Elektrizitätswerke des Kantons Zürich EKZ;95;8158;Regensberg
486;Elektrizitätswerke des Kantons Zürich EKZ;96;8105;Regensdorf
460;Elektrizitätswerk Rümlang Genossenschaft;97;8153;Rümlang
486;Elektrizitätswerke des Kantons Zürich EKZ;97;8153;Rümlang
486;Elektrizitätswerke des Kantons Zürich EKZ;98;8165;Schleinikon
486;Elektrizitätswerke des Kantons Zürich EKZ;99;8165;Schöfflisdorf
486;Elektrizitätswerke des Kantons Zürich EKZ;100;8174;Stadel
486;Elektrizitätswerke des Kantons Zürich EKZ;101;8162;Steinmaur
486;Elektrizitätswerke des Kantons Zürich EKZ;102;8187;Weiach
245;Elektrizitäts- Genossenschaft Weiach;102;8187;Weiach
486;Elektrizitätswerke des Kantons Zürich EKZ;111;8344;Bäretswil
258;Elektrizitätsgenossenschaft Bubikon;112;8608;Bubikon
486;Elektrizitätswerke des Kantons Zürich EKZ;112;8608;Bubikon
592;Gemeindewerke Rüti;113;8632;Dürnten
486;Elektrizitätswerke des Kantons Zürich EKZ;113;8632;Dürnten
486;Elektrizitätswerke des Kantons Zürich EKZ;114;8496;Fischenthal
424;Energie Gossau AG;115;8614;Gossau (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;115;8614;Gossau (ZH)
437;Elektrizitätswerk Grüningen;116;8627;Grüningen
486;Elektrizitätswerke des Kantons Zürich EKZ;116;8627;Grüningen
486;Elektrizitätswerke des Kantons Zürich EKZ;117;8340;Hinwil
592;Gemeindewerke Rüti;118;8630;Rüti (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;119;8607;Seegräben
554;EW Wald AG;120;8636;Wald (ZH)
595;Stadtwerke Wetzikon;121;8620;Wetzikon (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;131;8134;Adliswil
486;Elektrizitätswerke des Kantons Zürich EKZ;135;8802;Kilchberg (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;136;8135;Langnau am Albis
486;Elektrizitätswerke des Kantons Zürich EKZ;137;8942;Oberrieden
486;Elektrizitätswerke des Kantons Zürich EKZ;138;8805;Richterswil
486;Elektrizitätswerke des Kantons Zürich EKZ;139;8803;Rüschlikon
486;Elektrizitätswerke des Kantons Zürich EKZ;141;8136;Thalwil
513;Werke am Zürichsee (Erlenbach);151;8703;Erlenbach (ZH)
440;Elektrizitätswerk Herrliberg;152;8704;Herrliberg
486;Elektrizitätswerke des Kantons Zürich EKZ;153;8634;Hombrechtikon
444;Werke am Zürichsee (Küsnacht);154;8700;Küsnacht (ZH)
486;Elektrizitätswerke des Kantons Zürich EKZ;154;8700;Küsnacht (ZH)
626;Infrastruktur Männedorf;155;8708;Männedorf
514;Infrastruktur Zürichsee AG;156;8706;Meilen
486;Elektrizitätswerke des Kantons Zürich EKZ;157;8618;Oetwil am See
593;Gemeindewerke Stäfa;158;8712;Stäfa
